10	0	3000000	p15.3	gneg
10	3000000	3800000	p15.2	gpos25
10	3800000	6600000	p15.1	gneg
10	6600000	12200000	p14	gpos75
10	12200000	17300000	p13	gneg
10	17300000	18600000	p12.33	gpos75
10	18600000	18700000	p12.32	gneg
10	18700000	22600000	p12.31	gpos75
10	22600000	24600000	p12.2	gneg
10	24600000	29600000	p12.1	gpos50
10	29600000	31300000	p11.23	gneg
10	31300000	34400000	p11.22	gpos25
10	34400000	38000000	p11.21	gneg
10	38000000	40200000	p11.1	acen
10	40200000	42300000	q11.1	acen
10	42300000	46100000	q11.21	gneg
10	46100000	49900000	q11.22	gpos25
10	49900000	52900000	q11.23	gneg
10	52900000	61200000	q21.1	gpos100
10	61200000	64500000	q21.2	gneg
10	64500000	70600000	q21.3	gpos100
10	70600000	74900000	q22.1	gneg
10	74900000	77700000	q22.2	gpos50
10	77700000	82000000	q22.3	gneg
10	82000000	87900000	q23.1	gpos100
10	87900000	89500000	q23.2	gneg
10	89500000	92900000	q23.31	gpos75
10	92900000	94100000	q23.32	gneg
10	94100000	97000000	q23.33	gpos50
10	97000000	99300000	q24.1	gneg
10	99300000	101900000	q24.2	gpos50
10	101900000	103000000	q24.31	gneg
10	103000000	104900000	q24.32	gpos25
10	104900000	105800000	q24.33	gneg
10	105800000	111900000	q25.1	gpos100
10	111900000	114900000	q25.2	gneg
10	114900000	119100000	q25.3	gpos75
10	119100000	121700000	q26.11	gneg
10	121700000	123100000	q26.12	gpos50
10	123100000	127500000	q26.13	gneg
10	127500000	130600000	q26.2	gpos50
10	130600000	135534747	q26.3	gneg
